Actual,Predicted,Is_Correct,In_Top3,Confidence,File,Error
please,ERROR,0,0,0,Please.mp4,71
friend,ERROR,0,0,0,Friend.mp4,48
why,ERROR,0,0,0,Why.mp4,48
how,ERROR,0,0,0,How.mp4,52
thank_you,ERROR,0,0,0,Thank-you.mp4,48
no,ERROR,0,0,0,NO.mp4,48
bye,ERROR,0,0,0,Bye.mp4,71
toilet,ERROR,0,0,0,Toilet-1.mp4,48
eat,ERROR,0,0,0,Eat.mp4,71
me,ERROR,0,0,0,Me.mp4,48
who,ERROR,0,0,0,who.mp4,71
hi,ERROR,0,0,0,Hi.mp4,71
what,ERROR,0,0,0,what.mp4,99
know,ERROR,0,0,0,Know.mp4,71
you,ERROR,0,0,0,you.mp4,71
yes,ERROR,0,0,0,Yes.mp4,71
name,ERROR,0,0,0,name.mp4,48
where,ERROR,0,0,0,Where.mp4,48
sorry,ERROR,0,0,0,Sorry.mp4,71
drink,ERROR,0,0,0,Drink.mp4,71
excuse_me,ERROR,0,0,0,Excuse-me.mp4,48
help,ERROR,0,0,0,help.mp4,52
